name,dapil_id
KALIMANTAN UTARA 1,650001
KALIMANTAN UTARA 2,650002
KALIMANTAN UTARA 3,650003
KALIMANTAN UTARA 4,650004
SULAWESI UTARA 1,710001
SULAWESI UTARA 2,710002
SULAWESI UTARA 3,710003
SULAWESI UTARA 4,710004
SULAWESI UTARA 5,710005
SULAWESI UTARA 6,710006
SULAWESI TENGAH 1,720001
SULAWESI TENGAH 2,720002
SULAWESI TENGAH 3,720003
SULAWESI TENGAH 4,720004
SULAWESI TENGAH 5,720005
SULAWESI TENGAH 6,720006
SULAWESI TENGAH 7,720007
SULAWESI SELATAN 1,730001
SULAWESI SELATAN 10,730010
SULAWESI SELATAN 11,730011
SULAWESI SELATAN 2,730002
SULAWESI SELATAN 3,730003
SULAWESI SELATAN 4,730004
SULAWESI SELATAN 5,730005
SULAWESI SELATAN 6,730006
SULAWESI SELATAN 7,730007
SULAWESI SELATAN 8,730008
SULAWESI SELATAN 9,730009
SULAWESI TENGGARA 1,740001
SULAWESI TENGGARA 2,740002
SULAWESI TENGGARA 3,740003
SULAWESI TENGGARA 4,740004
SULAWESI TENGGARA 5,740005
SULAWESI TENGGARA 6,740006
GORONTALO 1,750001
GORONTALO 2,750002
GORONTALO 3,750003
GORONTALO 4,750004
GORONTALO 5,750005
GORONTALO 6,750006
SULAWESI BARAT 1,760001
SULAWESI BARAT 2,760002
SULAWESI BARAT 3,760003
SULAWESI BARAT 4,760004
SULAWESI BARAT 5,760005
SULAWESI BARAT 6,760006
SULAWESI BARAT 7,760007
MALUKU 1,810001
MALUKU 2,810002
MALUKU 3,810003
MALUKU 4,810004
MALUKU 5,810005
MALUKU 6,810006
MALUKU 7,810007
MALUKU UTARA 1,820001
MALUKU UTARA 2,820002
MALUKU UTARA 3,820003
MALUKU UTARA 4,820004
MALUKU UTARA 5,820005
P A P U A 1,910001
P A P U A 2,910002
P A P U A 3,910003
P A P U A 4,910004
P A P U A 5,910005
P A P U A 6,910006
P A P U A 7,910007
PAPUA BARAT 1,920001
PAPUA BARAT 2,920002
PAPUA BARAT 3,920003
PAPUA BARAT 4,920004
PAPUA BARAT 5,920005
PAPUA SELATAN 1,930001
PAPUA SELATAN 2,930002
PAPUA SELATAN 3,930003
PAPUA SELATAN 4,930004
PAPUA SELATAN 5,930005
PAPUA TENGAH 1,940001
PAPUA TENGAH 2,940002
PAPUA TENGAH 3,940003
PAPUA TENGAH 4,940004
PAPUA TENGAH 5,940005
PAPUA TENGAH 6,940006
PAPUA TENGAH 7,940007
PAPUA TENGAH 8,940008
PAPUA PEGUNUNGAN 1,950001
PAPUA PEGUNUNGAN 2,950002
PAPUA PEGUNUNGAN 3,950003
PAPUA PEGUNUNGAN 4,950004
PAPUA PEGUNUNGAN 5,950005
PAPUA PEGUNUNGAN 6,950006
PAPUA PEGUNUNGAN 7,950007
PAPUA BARAT DAYA 1,960001
PAPUA BARAT DAYA 2,960002
PAPUA BARAT DAYA 3,960003
PAPUA BARAT DAYA 4,960004
PAPUA BARAT DAYA 5,960005
PAPUA BARAT DAYA 6,960006
